sim,seed,horizon,target_portfolio_annual_vol,annual_drift,n_events,tp,fn,fp,tn,true_positive_rate,false_negative_rate,false_positive_rate,true_negative_rate,precision,label_positive_rate,true_drift_event_rate,balanced_accuracy,pt_hit_share,sl_hit_share,vertical_hit_share,avg_time_to_pt,avg_time_to_sl
0,20000,150,0.06,0.5,123000,12385,12215,31010,67390,0.5034552845528455,0.49654471544715445,0.3151422764227642,0.6848577235772357,0.28540154395667705,0.35280487804878047,0.2,0.5941565040650406,0.35280487804878047,0.1628861788617886,0.4843089430894309,67.62371240926375,90.07431994010481
0,20000,30,0.06,0.7,124500,10016,14884,28659,70941,0.40224899598393576,0.5977510040160643,0.2877409638554217,0.7122590361445783,0.2589786683904331,0.3106425702811245,0.2,0.5572540160642571,0.3106425702811245,0.2367309236947791,0.4526265060240964,15.594234001292826,17.349167034234725
0,20000,60,0.06,0.7,124000,11625,13175,30036,69164,0.46875,0.53125,0.30278225806451614,0.6972177419354839,0.27903794916108593,0.3359758064516129,0.2,0.582983870967742,0.3359758064516129,0.2178064516129032,0.44621774193548386,29.335349607546625,34.98493039099526
0,20000,90,0.06,0.7,124000,12814,11986,30778,68422,0.5166935483870968,0.4833064516129032,0.31026209677419353,0.6897379032258064,0.29395301890255093,0.3515483870967742,0.2,0.6032157258064517,0.3515483870967742,0.19908064516129031,0.44937096774193547,42.4969260414755,53.16385805719841
0,20000,150,0.06,0.7,123000,14270,10330,31010,67390,0.5800813008130081,0.4199186991869919,0.3151422764227642,0.6848577235772357,0.31515017667844525,0.368130081300813,0.2,0.6324695121951219,0.368130081300813,0.1577560975609756,0.4741138211382114,67.27559628975266,90.15460729746444
0,20000,30,0.06,0.9,124500,10949,13951,28659,70941,0.43971887550200806,0.560281124497992,0.2877409638554217,0.7122590361445783,0.2764340537265199,0.31813654618473897,0.2,0.5759889558232931,0.31813654618473897,0.2326987951807229,0.44916465863453814,15.582761058372046,17.35055745400573
0,20000,60,0.06,0.9,124000,12867,11933,30036,69164,0.5188306451612903,0.48116935483870965,0.30278225806451614,0.6972177419354839,0.29990909726592546,0.34599193548387097,0.2,0.6080241935483871,0.34599193548387097,0.2134758064516129,0.4405322580645161,29.242057664965152,34.98194250311662
0,20000,90,0.06,0.9,124000,14276,10524,30778,68422,0.5756451612903226,0.42435483870967744,0.31026209677419353,0.6897379032258064,0.31686420739556975,0.3633387096774194,0.2,0.6326915322580645,0.3633387096774194,0.19464516129032258,0.44201612903225806,42.305744218049455,53.170492210805435
0,20000,150,0.06,0.9,123000,15996,8604,31010,67390,0.6502439024390244,0.3497560975609756,0.3151422764227642,0.6848577235772357,0.3402969833638259,0.3821626016260163,0.2,0.66755081300813,0.3821626016260163,0.15391056910569106,0.4639268292682927,66.6987193124282,90.19058686809994
1,20001,30,0.06,0.1,124500,7590,17310,29089,70511,0.30481927710843376,0.6951807228915663,0.2920582329317269,0.707941767068273,0.20693039613948036,0.2946104417670683,0.2,0.5063805220883534,0.2946104417670683,0.24724497991967873,0.458144578313253,15.541536028790317,17.49363264245338
1,20001,60,0.06,0.1,124000,8090,16710,30517,68683,0.32620967741935486,0.6737903225806452,0.30763104838709676,0.6923689516129032,0.2095474913875722,0.3113467741935484,0.2,0.509289314516129,0.3113467741935484,0.23316129032258065,0.45549193548387096,29.23055404460331,35.160002767017154
1,20001,90,0.06,0.1,124000,8407,16393,31161,68039,0.33899193548387097,0.661008064516129,0.31412298387096776,0.6858770161290323,0.21246967246259604,0.31909677419354837,0.2,0.5124344758064516,0.31909677419354837,0.2134516129032258,0.4674516129032258,42.367595026283865,53.154941816533174
1,20001,150,0.06,0.1,123000,8730,15870,31584,66816,0.3548780487804878,0.6451219512195122,0.32097560975609757,0.6790243902439025,0.21655008185741925,0.3277560975609756,0.2,0.5169512195121951,0.3277560975609756,0.17428455284552846,0.4979593495934959,67.57548246266805,90.5803517283202
1,20001,30,0.06,0.3,124500,8392,16508,29089,70511,0.3370281124497992,0.6629718875502008,0.2920582329317269,0.707941767068273,0.22390010938875696,0.30105220883534134,0.2,0.5224849397590361,0.30105220883534134,0.2418714859437751,0.45707630522088355,15.556895493716816,17.491714541892208
1,20001,60,0.06,0.3,124000,9149,15651,30517,68683,0.36891129032258063,0.6310887096774194,0.30763104838709676,0.6923689516129032,0.23065093530983713,0.3198870967741935,0.2,0.5306401209677419,0.3198870967741935,0.22673387096774195,0.45337903225806453,29.242146926839105,35.17741419171261
1,20001,90,0.06,0.3,124000,9766,15034,31161,68039,0.39379032258064517,0.6062096774193548,0.31412298387096776,0.6858770161290323,0.23861998191902656,0.3300564516129032,0.2,0.5398336693548387,0.3300564516129032,0.20615322580645162,0.4637903225806452,42.401959586580986,53.18213824668466
1,20001,150,0.06,0.3,123000,10492,14108,31584,66816,0.4265040650406504,0.5734959349593496,0.32097560975609757,0.6790243902439025,0.2493583040212948,0.34208130081300814,0.2,0.5527642276422764,0.34208130081300814,0.1660650406504065,0.49185365853658536,67.678747979846,90.57745030843043
1,20001,30,0.06,0.5,124500,9202,15698,29089,70511,0.3695582329317269,0.630441767068273,0.2920582329317269,0.707941767068273,0.24031756809694185,0.3075582329317269,0.2,0.53875,0.3075582329317269,0.23697991967871487,0.45546184738955825,15.561019560732287,17.47485086767896
1,20001,60,0.06,0.5,124000,10303,14497,30517,68683,0.4154435483870968,0.5845564516129033,0.30763104838709676,0.6923689516129032,0.25240078392944637,0.3291935483870968,0.2,0.55390625,0.3291935483870968,0.22075806451612903,0.4500483870967742,29.26019108280255,35.14663549353401
1,20001,90,0.06,0.5,124000,11194,13606,31161,68039,0.45137096774193547,0.5486290322580645,0.31412298387096776,0.6858770161290323,0.26428993035060794,0.3415725806451613,0.2,0.5686239919354839,0.3415725806451613,0.1996209677419355,0.45880645161290323,42.39362530988077,53.192784712964084
1,20001,150,0.06,0.5,123000,12332,12268,31584,66816,0.5013008130081301,0.49869918699186994,0.32097560975609757,0.6790243902439025,0.2808088168321341,0.35704065040650407,0.2,0.5901626016260163,0.35704065040650407,0.15990243902439025,0.4830569105691057,67.59984971308863,90.64983729916615
1,20001,30,0.06,0.7,124500,10008,14892,29089,70511,0.4019277108433735,0.5980722891566265,0.2920582329317269,0.707941767068273,0.2559787195948538,0.3140321285140562,0.2,0.5549347389558232,0.3140321285140562,0.2327710843373494,0.4531967871485944,15.55244647926951,17.46608005521049
1,20001,60,0.06,0.7,124000,11515,13285,30517,68683,0.46431451612903224,0.5356854838709677,0.30763104838709676,0.6923689516129032,0.2739579368100495,0.33896774193548385,0.2,0.5783417338709678,0.33896774193548385,0.21529032258064515,0.445741935483871,29.24229158736201,35.0996778543602
1,20001,90,0.06,0.7,124000,12563,12237,31161,68039,0.5065725806451613,0.4934274193548387,0.31412298387096776,0.6858770161290323,0.28732503888024885,0.35261290322580646,0.2,0.5962247983870967,0.35261290322580646,0.19426612903225807,0.4531209677419355,42.26404263104931,53.17559882103865
