sim,seed,equal_weight_ann_vol,individual_ann_vol_avg,individual_ann_vol_median,individual_ann_vol_min,individual_ann_vol_max,avg_pairwise_corr
64,20064,0.09942802219889968,1.3568722293363173,1.4121096630503605,0.4055744848111394,1.9569877319160522,0.004111580143886921
65,20065,0.09906423943902479,1.357036276994558,1.4189848082880707,0.40463454016699935,1.9797596408163713,0.004090938729901579
66,20066,0.09897816081625595,1.3562912794825894,1.4078621983297523,0.4076973386344552,1.9775372808995202,0.004069674127495335
67,20067,0.10071240829542993,1.3563494213771023,1.4114524358699174,0.4114969264114453,1.9783045082259751,0.004308677875803126
68,20068,0.0997398243066012,1.3561276599979364,1.411855078206631,0.4064342205494484,1.9721311936771637,0.004170859244531684
69,20069,0.1010527528581808,1.3564706611424975,1.4121586263237633,0.4043859920382115,1.9576491105781941,0.004329127914376331
70,20070,0.0997947848407621,1.3560102660728826,1.4076196541231247,0.40425741015085304,1.9621357093130218,0.004159513587603251
71,20071,0.09834429721889745,1.3559914527325738,1.412595398839935,0.40330858025695776,1.9626392383419857,0.004005780262170446
72,20072,0.0995805312156343,1.3565650664024675,1.4078854430890417,0.40569472965956377,1.9717875846293422,0.004159609399192678
73,20073,0.09930410932068748,1.3565340132140096,1.412059961858749,0.4055833352458972,1.9875873821549512,0.004121168373060601
74,20074,0.09893585741488091,1.3561626656305739,1.4078938863785266,0.4081172111568613,1.9603820350970522,0.004033345421846214
75,20075,0.09927731514914973,1.3566169597231965,1.4156290765572535,0.40743084783449723,1.9724721932403346,0.0041075154935915495
76,20076,0.09999348182182545,1.356910623781617,1.410002617622369,0.4077206025009951,1.9732615116511862,0.00418116696020435
77,20077,0.09919227938193695,1.3575956778624376,1.416935262823568,0.4073659010351098,1.9744009370816409,0.0041224045969943815
78,20078,0.09868635471990383,1.3566044477479937,1.4136709534423044,0.40808396775949485,1.9706439630950725,0.004084796058921122
79,20079,0.1002974562606687,1.356288340207479,1.40970751201366,0.404858179301704,1.962151811002696,0.004245868733752466
80,20080,0.10045690273871256,1.3568067477238532,1.4149858425703523,0.40448222904261627,1.9861894879765651,0.0042806692587768905
81,20081,0.09769365062892818,1.356452360063115,1.4148554654907226,0.40848079136172494,1.9985653443197426,0.0039441859832255385
82,20082,0.10022054281340158,1.3565389723701387,1.4151509580428248,0.40711390559929883,1.9794664162623836,0.0042589133600003885
83,20083,0.09937028721100184,1.356273203200145,1.4165011946728248,0.4072304563960952,1.9775862250538774,0.004144723031871847
84,20084,0.10139179275963217,1.3566413984294403,1.412931649500998,0.40809563342111194,1.9798441739241257,0.004388365080925596
85,20085,0.10090766397202079,1.3564058872489504,1.41574844260685,0.407034793283515,1.9641137672638334,0.004330510113640436
86,20086,0.09997552972102429,1.3564757294878145,1.4166919771720883,0.40490998567123976,1.9728943548949938,0.004211805706678869
87,20087,0.09910064506751416,1.356488270996074,1.4144623417525908,0.4104708562340033,1.9695013903416014,0.00410638547492876
88,20088,0.0998434628452574,1.3566347429977794,1.4139913603902903,0.4056677647896911,1.9673040830765987,0.004172468788118357
89,20089,0.10022900794418921,1.3567306510589001,1.4104905335766391,0.4065445955120872,1.9675691394953287,0.004265408504767524
90,20090,0.09914231188784342,1.3561545478466948,1.415774965813084,0.4049702123302782,1.9644081914843818,0.004106207611903568
91,20091,0.10026282003025068,1.3560578150887201,1.4105463307864141,0.4063665016193347,1.9625003916999246,0.004238481901629587
92,20092,0.09993841466808084,1.35655319670584,1.4103378094412822,0.4027145831686921,1.97764898352994,0.004203992337613618
93,20093,0.09955451425726032,1.3554913162429711,1.4104425389976387,0.4044034189844882,1.9838762005026023,0.0041390678285844
94,20094,0.10004948445106442,1.3567312430193337,1.4100995742304265,0.41009198487169674,1.9649549625870562,0.004271683319301303
95,20095,0.09975970504839071,1.3570207443027262,1.4182322204684277,0.4005488730106862,1.9757310570045352,0.00416618901037802
96,20096,0.09973410046314296,1.3557358274385338,1.4182046541615545,0.40505213256350076,1.9585083181601242,0.004175516168039971
97,20097,0.10090892981344853,1.3564108255926122,1.414179836402603,0.4046761731494554,1.9760577806614765,0.004353516609555277
98,20098,0.0991582066549266,1.356338231368502,1.4166688350205883,0.4059916404292665,1.9765525129244135,0.004118004060939923
99,20099,0.09998093403666668,1.3559683931477444,1.416684893767375,0.4028183550225788,1.9689909981604987,0.004219087032909398
